614,873.5
614,873
604,863.5
593,841
594,841.5
593.5,841.5
572,812.5
571.5,811
566,801
550,779
550,779.5
543.5,770
528,749.5
528,750
527,748.5
518.5,737.5
511,728.5
503.5,716.5
478.5,687.5
478,688
435.5,617.5
442,627
424.5,606
417,596
401,572
401,573.5
401.5,573
396.5,562
389.5,551
370.5,527.5
362.5,516
354.5,504.5
348,493
347.5,494
338.5,470.5
269,390.5
268.5,390
269,390
243,353
242.5,353.5
225.5,329.5
231,336.5
218,316
217.5,317
200.5,290.5
191.5,279
183.5,266.5
173,255
169.5,248.5
165.5,244.5
147.5,217.5
139,204
130.5,190
121,179.5
112,166
96,140.5
95,145.5
95,141.5
90.5,107.5
105.5,135.5
105.5,135.5
119.5,158
132,174
132.5,174.5
151.5,198.5
151,198
151.5,198.5
168,224.5
177.5,236.5
194,264
194,263.5
197.5,268
204,274.5
216,293
230.5,309
236.5,318.5
247,336
256,348
256.5,348.5
272,372.5
280.5,385
291,395
297.5,401.5
342.5,455.5
342.5,456.5
356.5,491
356,491
363.5,502
371.5,514
387.5,535
389.5,537
397.5,547
404.5,557.5
405.5,557.5
421.5,580
421.5,580.5
427,592
444,614
513,718
513,717.5
517,723
530.5,734.5
540.5,744
545.5,754.5
552,765
552,765
566.5,785
573,795
590.5,817
591.5,818.5
599,827.5
607,836.5
612,847
626.5,858
627.5,866
640.5,854
628.5,846
614.5,827.5
614.5,827.5
607.5,817
607.5,817
591.5,796
585,786.5
578,775.5
570.5,765
562.5,755
556,750
545.5,743.5
525.5,723.5
471,622
469,621
454,605
447,594
447.5,594
430.5,572.5
422,561
419.5,558.5
399,527
398.5,526.5
390.5,515.5
374.5,493
373.5,493.5
365.5,482
365.5,480
358.5,468.5
306.5,397
306,397.5
306.5,397.5
298.5,389
282,364.5
274.5,352
265.5,339.5
257.5,327
240.5,303.5
240.5,304
232,292
222,280
213.5,266.5
205,254
189,229
189,229
189.5,229.5
168.5,204.5
168,203
160.5,188.5
132,158
132,157.5
122,140.5
122,140.5
97.5,101
97,101
97,101
111.5,97.5
120,109.5
128.5,119.5
128.5,119.5
139.5,134.5
156.5,163
165,175
165,175
183.5,198
190.5,211
200.5,222.5
209.5,235
217,249.5
235,273.5
235,273
244.5,286
245,285
256,306
264,315.5
277,334.5
281,339.5
295.5,359
296,358
312,382.5
312,382.5
319.5,401.5
350.5,430
349.5,430
362.5,453.5
362.5,453
379.5,476
379.5,476
388,487
394.5,498
394.5,499
411.5,522
418,533
426.5,544.5
426,544
449.5,578
450,577.5
461,592
466.5,599.5
481.5,619
481.5,619
482,619
491,625.5
567,739
575.5,748
581.5,759
589,770
595,780.5
603,790.5
613,802
621.5,815
628.5,821.5
634,834
634.5,835.5
644.5,852
649,843
650,844
644.5,832.5
633,813.5
619.5,792.5
619.5,792.5
619.5,792.5
605.5,772
598.5,761
592.5,750.5
586.5,740
575,718.5
574.5,719
500.5,621
501,620.5
484.5,600.5
485,601
485.5,601.5
460.5,569
461,569
453,557.5
445,546.5
436,535.5
435,535.5
421.5,513
412.5,503
405.5,490.5
397,479.5
388,468
371.5,446
371.5,445.5
364,438.5
358.5,428
325.5,384
320.5,371.5
319.5,369
295.5,339
295.5,339.5
286.5,327.5
278,314.5
275.5,309.5
254,277.5
254,277
246.5,265.5
228,239.5
227.5,240
219,228.5
211,216
202,203
192.5,192
184,177.5
175,165.5
157.5,141
154.5,136.5
147.5,126.5
139.5,114.5
121.5,89.5
131.5,86.5
132,86.5
140.5,96.5
141.5,96
163,127
169,134
178.5,146
187,161
204.5,186
204.5,186
212.5,198.5
224.5,217.5
231,223.5
239,236
248,248.5
256.5,260.5
267,272
283,298
282.5,297.5
282.5,298.5
303,327.5
307.5,333
327,357.5
327,358.5
335,368
333.5,369
350.5,389
369,405.5
369,417
376.5,428
391.5,452
392,451
399.5,464
407,475
407.5,476.5
430.5,508.5
430.5,509
446.5,531
446.5,531
455,542
463.5,552
470,563.5
478.5,575
485.5,587
494,598.5
503,607.5
562,670
562,670.5
564.5,681
569,692
581,714
586.5,724
594,736
594,735.5
599.5,746
608.5,756
615.5,767
630.5,787.5
630,788
636.5,796.5
643,809
647.5,818
653,827.5
658.5,830
651.5,808
652,809
648.5,798
639,777.5
639,777
631.5,768
626,758
610.5,735.5
603.5,726
604,726.5
597,715.5
589,704.5
581.5,693.5
575.5,683.5
569,673
564,662
560,651
556.5,640
519,618
519,617.5
518,609.5
505.5,587.5
505,587.5
496.5,576.5
490.5,565.5
481.5,555
474.5,543.5
458.5,521.5
458.5,521.5
450.5,510.5
434,488.5
425.5,478.5
418,467
417,465.5
409.5,455
401.5,442
386,417.5
388,417
381.5,405.5
381.5,405.5
351.5,370
352.5,370
343.5,361
336,354.5
308.5,314.5
304.5,299
